rank	experiment	compression	int_encoding	date_encoding	timestamp_encoding	string_encoding	physical_bytes	baseline_encoded_bytes	encoded_bytes	compressed_bytes	post_encoding_ratio	post_compression_ratio	codec_ratio	elapsed_ms	result_file	column_stats_tsv	output_dir
1	rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-plain	none	plain	plain	plain	plain	712398624	825621935	825621935	825621935	1.000000		1.000000	10460	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-plain
2	rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-plain	none	plain	plain	plain	rle-dict	712398624	825621935	476656260	476656260	1.732112		1.000000	10326	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-plain
3	rows-1000000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-plain	none	plain	plain	plain	delta-byte-array	712398624	825621935	519281252	519281252	1.589932		1.000000	10740	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-plain
4	rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-plain	none	plain	plain	plain	delta-length-byte-array	712398624	825621935	721820410	721820410	1.143805		1.000000	10434	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-plain
5	rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-rle-dict	none	plain	plain	rle-dict	plain	712398624	825621935	824177912	824177912	1.001752		1.000000	10661	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-rle-dict
6	rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict	none	plain	plain	rle-dict	rle-dict	712398624	825621935	474644770	474644770	1.739452		1.000000	10725	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict
7	rows-1000000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-rle-dict	none	plain	plain	rle-dict	delta-byte-array	712398624	825621935	517228826	517228826	1.596241		1.000000	10898	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-rle-dict
8	rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-rle-dict	none	plain	plain	rle-dict	delta-length-byte-array	712398624	825621935	719798384	719798384	1.147018		1.000000	10621	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-rle-dict
9	rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-delta-binary-packed	none	plain	plain	delta-binary-packed	plain	712398624	825621935	812455262	812455262	1.016206		1.000000	10550	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-delta-binary-packed
10	rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-delta-binary-packed	none	plain	plain	delta-binary-packed	rle-dict	712398624	825621935	462871608	462871608	1.783695		1.000000	10604	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-delta-binary-packed
11	rows-1000000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-delta-binary-packed	none	plain	plain	delta-binary-packed	delta-byte-array	712398624	825621935	505547851	505547851	1.633123		1.000000	10820	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-delta-binary-packed
12	rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-delta-binary-packed	none	plain	plain	delta-binary-packed	delta-length-byte-array	712398624	825621935	708086661	708086661	1.165990		1.000000	10555	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-delta-binary-packed
13	rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-plain	none	plain	rle-dict	plain	plain	712398624	825621935	822183283	822183283	1.004182		1.000000	10432	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-plain
14	rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-plain	none	plain	rle-dict	plain	rle-dict	712398624	825621935	472710213	472710213	1.746571		1.000000	10497	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-plain
15	rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-plain	none	plain	rle-dict	plain	delta-byte-array	712398624	825621935	515280979	515280979	1.602275		1.000000	10705	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-plain
16	rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-plain	none	plain	rle-dict	plain	delta-length-byte-array	712398624	825621935	717827940	717827940	1.150167		1.000000	10342	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-plain
17	rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-rle-dict	none	plain	rle-dict	rle-dict	plain	712398624	825621935	820174852	820174852	1.006641		1.000000	10739	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-rle-dict
18	rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict	none	plain	rle-dict	rle-dict	rle-dict	712398624	825621935	470646188	470646188	1.754231		1.000000	10818	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict
